Time (ms),Amplitude (mV)
0.0,1.8
2.0,10.4
4.0,17.6
6.0,22.8
8.0,25.1
10.0,24.3
12.0,20.7
14.0,14.9
16.0,7.4
18.0,-0.9
20.0,-8.7
22.0,-15.3
24.0,-20.1
26.0,-22.7
28.0,-22.8
30.0,-20.4
32.0,-15.8
34.0,-9.4
36.0,-2.1
38.0,5.5
40.0,12.6
42.0,18.2
44.0,21.9
46.0,23.4
48.0,22.1
50.0,18.6
52.0,13.0
54.0,6.1
56.0,-1.3
58.0,-8.9
60.0,-15.7
62.0,-20.5
64.0,-23.2
66.0,-23.5
68.0,-21.5
70.0,-17.1
72.0,-11.0
74.0,-4.0
76.0,3.5
78.0,10.8
80.0,16.9
82.0,21.3
84.0,23.5
86.0,23.2
88.0,20.5
90.0,15.6
92.0,9.2
94.0,2.2
96.0,-5.0
98.0,-11.9
