Time (h),OD600,Strain
0,0.0243,WT
0,0.0298,WT
0,0.0155,WT
2,0.0708,WT
2,0.0672,WT
2,0.1108,WT
4,0.1301,WT
4,0.0993,WT
4,0.1005,WT
6,0.2112,WT
6,0.2558,WT
6,0.2179,WT
8,0.4146,WT
8,0.4351,WT
8,0.3983,WT
10,0.6263,WT
10,0.5876,WT
10,0.6066,WT
12,0.8038,WT
12,0.8284,WT
12,0.8478,WT
14,0.9350,WT
14,0.9420,WT
14,0.9396,WT
16,1.0244,WT
16,1.0196,WT
16,1.0041,WT
20,1.0145,WT
20,1.0623,WT
20,1.0493,WT
24,1.0787,WT
24,1.0473,WT
24,1.0969,WT
0,0.0118,MutantA
0,0.0606,MutantA
0,0.0236,MutantA
2,0.0241,MutantA
2,0.0088,MutantA
2,0.0332,MutantA
4,0.1005,MutantA
4,0.0853,MutantA
4,0.0821,MutantA
6,0.0512,MutantA
6,0.1284,MutantA
6,0.1245,MutantA
8,0.1668,MutantA
8,0.1649,MutantA
8,0.1805,MutantA
10,0.3195,MutantA
10,0.2500,MutantA
10,0.2657,MutantA
12,0.4240,MutantA
12,0.3788,MutantA
12,0.3809,MutantA
14,0.5061,MutantA
14,0.4726,MutantA
14,0.5091,MutantA
16,0.5692,MutantA
16,0.6216,MutantA
16,0.5995,MutantA
20,0.7722,MutantA
20,0.7221,MutantA
20,0.7493,MutantA
24,0.7267,MutantA
24,0.7562,MutantA
24,0.7673,MutantA
0,0.0627,MutantB
0,0.0000,MutantB
0,0.0439,MutantB
2,0.0704,MutantB
2,0.0939,MutantB
2,0.0734,MutantB
4,0.1541,MutantB
4,0.1397,MutantB
4,0.1216,MutantB
6,0.3705,MutantB
6,0.3609,MutantB
6,0.4162,MutantB
8,0.6667,MutantB
8,0.6900,MutantB
8,0.6428,MutantB
10,0.9479,MutantB
10,0.9644,MutantB
10,0.9784,MutantB
12,1.1430,MutantB
12,1.1057,MutantB
12,1.0789,MutantB
14,1.1787,MutantB
14,1.1802,MutantB
14,1.1796,MutantB
16,1.1714,MutantB
16,1.2172,MutantB
16,1.1911,MutantB
20,1.2163,MutantB
20,1.2306,MutantB
20,1.2140,MutantB
24,1.2070,MutantB
24,1.2537,MutantB
24,1.2060,MutantB
