Time (ms),Displacement (mm)
0.0,8.02
1.0,7.38
2.0,5.61
3.0,3.14
4.0,0.49
5.0,-1.87
6.0,-3.61
7.0,-4.42
8.0,-4.27
9.0,-3.38
10.0,-2.01
11.0,-0.51
12.0,0.84
13.0,1.82
14.0,2.34
15.0,2.41
16.0,2.12
17.0,1.62
18.0,1.01
19.0,0.39
20.0,-0.16
21.0,-0.57
22.0,-0.84
23.0,-0.97
24.0,-0.96
25.0,-0.83
26.0,-0.63
27.0,-0.40
28.0,-0.18
29.0,0.03
30.0,0.19
31.0,0.30
32.0,0.36
33.0,0.37
34.0,0.34
35.0,0.28
36.0,0.20
37.0,0.12
38.0,0.04
39.0,-0.03
40.0,-0.08
41.0,-0.11
42.0,-0.12
43.0,-0.12
44.0,-0.10
45.0,-0.08
46.0,-0.06
47.0,-0.03
48.0,-0.01
49.0,0.01
50.0,0.02
51.0,0.03
52.0,0.03
53.0,0.03
54.0,0.02
55.0,0.02
56.0,0.01
57.0,0.01
58.0,0.00
59.0,0.00
60.0,0.00
